iter	Passed	Remaining
0	0	84
1	1	73
2	2	68
3	2	66
4	3	64
5	4	63
6	4	62
7	5	61
8	5	60
9	6	59
10	7	58
11	7	57
12	8	57
13	9	57
14	10	57
15	10	56
16	11	55
17	12	56
18	13	55
19	13	54
20	14	53
21	14	53
22	15	52
23	16	51
24	16	50
25	17	50
26	18	49
27	18	48
28	19	47
29	20	47
30	20	46
31	21	45
32	22	45
33	22	44
34	23	43
35	24	43
36	25	42
37	26	42
38	27	42
39	27	41
40	28	41
41	29	40
42	30	40
43	30	39
44	31	38
45	31	37
46	32	36
47	33	36
48	33	35
49	34	34
50	35	33
51	36	33
52	36	32
53	37	31
54	38	31
55	38	30
56	39	29
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	26
63	45	25
64	45	24
65	46	23
66	47	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	18
73	52	18
74	52	17
75	53	16
76	54	16
77	55	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	61	7
89	62	6
90	63	6
91	63	5
92	64	4
93	64	4
94	65	3
95	66	2
96	66	2
97	67	1
98	68	0
99	69	0
