iter	Passed	Remaining
0	153	153171
1	155	77619
2	157	52277
3	159	39735
4	161	32099
5	162	26942
6	163	23263
7	165	20497
8	166	18345
9	167	16626
10	169	15211
11	170	14058
12	172	13085
13	173	12246
14	175	11526
15	177	10905
16	178	10327
17	179	9804
18	180	9327
19	181	8900
20	182	8512
21	183	8168
22	184	7851
23	185	7556
24	187	7295
25	188	7044
26	188	6810
27	189	6589
28	190	6384
29	191	6192
30	192	6011
31	193	5842
32	193	5683
33	194	5533
34	195	5395
35	196	5264
36	197	5144
37	198	5025
38	199	4912
39	200	4804
40	201	4708
41	202	4625
42	204	4542
43	205	4455
44	205	4371
45	206	4291
46	207	4214
47	208	4141
48	210	4078
49	211	4016
50	212	3949
51	213	3883
52	213	3821
53	215	3782
54	217	3734
55	218	3679
56	219	3625
57	219	3572
58	221	3530
59	222	3484
60	223	3438
61	224	3393
62	225	3349
63	226	3308
64	226	3265
65	227	3222
66	228	3181
67	229	3145
68	230	3109
69	231	3076
70	232	3046
71	233	3013
72	234	2980
73	235	2949
74	236	2918
75	237	2888
76	238	2858
77	239	2828
78	240	2799
79	241	2771
80	241	2743
81	242	2716
82	243	2685
83	243	2659
84	244	2634
85	245	2611
86	246	2589
87	247	2567
88	248	2542
89	249	2518
90	249	2494
91	250	2473
92	251	2452
93	252	2434
94	253	2413
95	254	2393
96	254	2372
97	255	2351
98	256	2331
99	256	2312
100	257	2293
101	258	2273
102	259	2257
103	260	2241
104	261	2227
105	262	2215
106	263	2202
107	264	2187
108	266	2176
109	267	2162
110	268	2151
111	269	2140
112	272	2137
113	273	2128
114	274	2114
115	275	2102
116	276	2087
117	277	2074
118	278	2060
119	280	2056
120	281	2045
121	282	2034
122	284	2025
123	285	2016
124	286	2008
125	287	1997
126	288	1985
127	289	1974
128	291	1966
129	292	1955
130	293	1944
131	294	1935
132	295	1927
133	297	1921
134	298	1913
135	299	1902
136	300	1893
137	301	1883
138	302	1872
139	303	1862
140	304	1852
141	304	1839
142	305	1830
143	306	1820
144	307	1810
145	307	1801
146	309	1795
147	310	1789
148	314	1795
149	316	1790
150	317	1782
151	317	1773
152	318	1764
153	319	1755
154	320	1747
155	321	1739
156	322	1729
157	322	1721
